timestamp,blocknumber,txhash,txindex,logindex,txfrom,txto,txvalue,gas_price,gas_used
1576108857,9091434,0xeb9ae2063ac8735df50579f148d6855c15f9ff3351ce53b8e72477d2e906a182,66,166,0x23983ea2123d40eb5655dfff3f3c917c78f214f6,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,679923516959290000000,9634000000,67516
1576108857,9091434,0x84420f47b1cfa101560585bb87b7fcf7e72e8c312ee01f64974bf8122d51738b,83,201,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0x39755357759ce0d7f32dc8dc45414cca409ae24e,11396854562016000000000,8000800000,163835
1576108857,9091434,0x5a259f7b8a7804c0be60d65d7e14b85faa421dfb2dd99c58f3fbe18b639de10b,98,239,0x0000000000000000000000000000000000000000,0x8b5042072ba68b15b0b94b814ef15bf75d58288a,104978431210434782608,8000000000,169518
1576108903,9091435,0xc665c5039a99411bc8229a9f94037ac792bac26ce2ee89942e17ba6e62aeb81e,32,22,0xb9d77a2bcb23850540c394df863d23bf17296ce8,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,207361650010104070144,23189084835,60223
1576108903,9091435,0xe10aeac9d6656708cf5d07badc2e878895ccdffbdc64cbb4a6e8943335f7e7e8,101,137,0x39755357759ce0d7f32dc8dc45414cca409ae24e,0x3e5d6e1472c9331b5695b428d8006040e2e8a754,7498000000788121000000,6612499999,1136741
1576108903,9091435,0xe10aeac9d6656708cf5d07badc2e878895ccdffbdc64cbb4a6e8943335f7e7e8,101,140,0x39755357759ce0d7f32dc8dc45414cca409ae24e,0x3e5d6e1472c9331b5695b428d8006040e2e8a754,8213000000589500000000,6612499999,1136741
1576108903,9091435,0xe10aeac9d6656708cf5d07badc2e878895ccdffbdc64cbb4a6e8943335f7e7e8,101,149,0x3e5d6e1472c9331b5695b428d8006040e2e8a754,0x39755357759ce0d7f32dc8dc45414cca409ae24e,7498000001215740000000,6612499999,1136741
1576108903,9091435,0xe10aeac9d6656708cf5d07badc2e878895ccdffbdc64cbb4a6e8943335f7e7e8,101,153,0x3e5d6e1472c9331b5695b428d8006040e2e8a754,0x39755357759ce0d7f32dc8dc45414cca409ae24e,8213000000452232000000,6612499999,1136741
1576108906,9091437,0xbd328696bbb6936521ca9656bffff74a07895a479e3521a309f159cf139b9e2a,85,142,0x39755357759ce0d7f32dc8dc45414cca409ae24e,0x62ae162c9da102f2fc98374faa0d790a240158eb,1393700023661622019947,5000000000,73979
1576108906,9091437,0x2399d95c0eb7a58ec8a8faabed1954a69ce4fbc106190cb8af91e086e8b3d672,87,148,0x39755357759ce0d7f32dc8dc45414cca409ae24e,0x62ae162c9da102f2fc98374faa0d790a240158eb,3097598419737050855632,5000000000,73979
